Time,FR007:1Y,FR007:2Y,FR007:3Y,FR007:5Y,FR007:7Y,FR007:10Y,国债:1Y,国债:2Y,国债:3Y,国债:5Y,国债:7Y,国债:10Y,国开:1Y,国开:2Y,国开:3Y,国开:5Y,国开:7Y,国开:10Y,口行:1Y,口行:2Y,口行:3Y,口行:5Y,口行:7Y,口行:10Y
2012-08-07,2.7692,2.7535,2.8062,2.8682,2.9315,2.9863,2.4078,2.5645,2.6902,2.9171,3.1579,3.33,3.03,3.3207,3.5161,3.8384,4.0429,4.1564,2.8818,3.2804,3.4502,3.6561,3.9249,4.0161
2012-08-08,2.7814,2.7777,2.8231,2.8863,2.9588,3.0117,2.4378,2.5956,2.7155,2.9592,3.182,3.3545,3.0356,3.344,3.5402,3.8633,4.0541,4.1525,2.8947,3.3032,3.4502,3.6773,3.936,4.0161
2012-08-09,2.753,2.7431,2.7922,2.8666,2.9365,2.9888,2.4381,2.5862,2.6777,2.9504,3.1715,3.3023,3.0354,3.374,3.5165,3.8604,4.0391,4.1349,2.8946,3.2804,3.4442,3.6687,3.9338,3.9973
2012-08-10,2.6933,2.6738,2.7096,2.7968,2.8908,2.9463,2.3959,2.5738,2.6567,2.9478,3.168,3.2825,3.0354,3.374,3.469,3.837,4.0264,4.1149,2.8926,3.2714,3.416,3.6537,3.9226,3.9802
2012-08-13,2.7652,2.7489,2.7777,2.8391,2.9061,2.9582,2.4134,2.5916,2.6841,2.9762,3.1907,3.3029,3.0358,3.372,3.4821,3.8374,4.026,4.1315,2.8926,3.2914,3.4413,3.6479,3.9176,3.9809
2012-08-14,2.8047,2.7904,2.8271,2.8784,2.9484,3.0069,2.4183,2.616,2.7202,3.0012,3.2073,3.3105,3.0411,3.372,3.5189,3.8509,4.0189,4.1315,2.8927,3.3115,3.4523,3.6745,3.9137,3.9915
2012-08-15,2.8638,2.8488,2.8703,2.9298,2.9797,3.0336,2.4572,2.6797,2.7651,3.0454,3.2225,3.3402,3.0465,3.412,3.5391,3.8689,4.0315,4.1315,2.9208,3.3501,3.4523,3.6983,3.9234,4.002
2012-08-16,2.8909,2.8739,2.8932,2.9317,2.9989,3.042,2.4622,2.6919,2.7841,3.0555,3.2365,3.3467,3.0612,3.413,3.5472,3.8789,4.0235,4.1341,2.9122,3.3511,3.4573,3.6985,3.927,4.0121
2012-08-17,2.8833,2.864,2.8774,2.9189,2.9921,3.0388,2.4745,2.7032,2.7841,3.0705,3.2228,3.3342,3.0575,3.4449,3.5688,3.8837,4.041,4.1321,2.9169,3.3645,3.4773,3.7194,3.9338,4.018
2012-08-20,3.0149,2.9851,3.002,3.0144,3.0648,3.1076,2.5216,2.7377,2.8616,3.0813,3.266,3.3564,3.0777,3.454,3.6206,3.8838,4.059,4.1474,2.9548,3.3656,3.5238,3.7674,3.9549,4.038
